Special Number,Month,Season,Total Weight,Recycle,Non-Recycle,Blue Net,Latitude,Longitude,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region
1074,4,Spring,6,1,5,0,37.418322,24.373542,South,S,3.0,Mixed,3644,241,0,0,21. ΚΥΘΝΟΣ
1075,4,Spring,8,0,8,0,37.499306,24.887867,West,NE,4.0,Mixed,698,44,0,0,22. ΣΥΡΟΣ
1076,4,Spring,15,1,14,0,37.497044,24.898389,West,NE,4.0,Mixed,1105,60,0,0,22. ΣΥΡΟΣ
1077,4,Spring,7,0,7,0,37.494328,24.899672,West,NE,4.0,Mixed,1313,61,0,0,22. ΣΥΡΟΣ
1078,4,Spring,14,1,13,0,37.489025,24.901483,West,NE,4.0,Mixed,1858,177,0,0,22. ΣΥΡΟΣ
1079,4,Spring,9,1,8,0,37.472614,24.901883,West,NE,4.0,Mixed,1275,82,0,0,22. ΣΥΡΟΣ
1081,4,Spring,8,1,7,0,37.458069,24.8987,West,NE,4.0,Mixed,5211,341,1,1,22. ΣΥΡΟΣ
1083,4,Spring,6,0,6,0,37.443158,24.896219,West,NE,4.0,Mixed,1368,122,1,0,22. ΣΥΡΟΣ
1089,4,Spring,7,0,7,0,37.392742,24.884483,West,NW,2.0,Mixed,2721,215,1,1,22. ΣΥΡΟΣ
1094,4,Spring,7,2,5,0,37.378872,24.908842,South,NW,2.0,Sand,1806,207,1,1,22. ΣΥΡΟΣ
1101,4,Spring,8,0,8,0,37.415186,24.965586,East,SW,2.0,Mixed,139,12,1,1,22. ΣΥΡΟΣ
1102,4,Spring,9,0,9,0,37.417275,24.961672,East,SW,2.0,Mixed,256,17,1,1,22. ΣΥΡΟΣ
1104,4,Spring,40,5,35,0,37.725928,24.913569,West,SW,4.0,Mixed,674,41,0,0,23. ΑΝΔΡΟΣ 2η ΦΟΡΑ
1106,5,Spring,8,0,8,0,37.461719,24.433517,East,W,3.0,Mixed,4641,200,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1107,5,Spring,9,0,9,0,37.459847,24.428933,East,W,3.0,Mixed,1986,137,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1108,5,Spring,9,0,9,0,37.458017,24.428272,East,W,3.0,Mixed,1089,72,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1109,5,Spring,9,0,9,0,37.448961,24.429267,East,W,3.0,Mixed,118,13,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1110,5,Spring,8,0,8,0,37.447828,24.429003,East,W,3.0,Mixed,349,32,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1111,5,Spring,9,0,9,0,37.445092,24.4266,East,W,3.0,Sand,1013,105,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1112,5,Spring,0,0,0,0,37.442683,24.425328,East,W,3.0,Pebbles,1,1,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1113,5,Spring,70,10,60,0,37.441542,24.425647,East,W,3.0,Sand,1423,97,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1114,5,Spring,30,2,28,0,37.438586,24.434308,East,NE,4.0,Sand,831,67,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1115,5,Spring,275,55,220,0,37.428433,24.450036,North,NE,4.0,Pebbles,473,38,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1116,5,Spring,3,0,3,0,37.425956,24.467839,North,NE,3.0,Pebbles,136,21,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1117,5,Spring,60,0,60,0,37.396436,24.473072,South,NE,3.0,Mixed,743,90,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1118,5,Spring,14,0,14,0,37.396967,24.457364,South,NE,3.0,Mixed,4500,548,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1119,5,Spring,8,0,8,0,37.388875,24.453175,East,NE,3.0,Sand,3916,154,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1120,5,Spring,72,6,66,0,37.377467,24.454564,East,NE,3.0,Sand,764,52,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1124,5,Spring,14,5,9,0,37.346564,24.434906,East,NE,3.0,Mixed,84,16,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1126,5,Spring,10,2,8,0,37.342322,24.429758,East,NE,3.0,Mixed,1211,71,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1127,5,Spring,11,2,9,0,37.334414,24.426219,East,NE,3.0,Mixed,875,43,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1128,5,Spring,37,7,30,0,37.332422,24.415819,East,NE,3.0,Mixed,6377,241,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1129,5,Spring,9,0,9,0,37.333267,24.418464,East,NE,3.0,Mixed,124,21,0,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1130,5,Spring,12,3,9,0,37.326011,24.411483,East,NE,3.0,Sand,3903,180,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1132,5,Spring,47,8,39,0,37.319864,24.407261,East,NE,3.0,Mixed,749,44,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1133,5,Spring,55,7,48,0,37.311156,24.397022,East,N,3.0,Mixed,934,39,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1134,5,Spring,62,7,55,0,37.30975,24.394342,East,N,3.0,Mixed,479,27,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1135,5,Spring,10,2,8,0,37.307428,24.386767,East,N,3.0,Mixed,668,29,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1136,5,Spring,9,2,7,0,37.306061,24.384186,East,N,3.0,Mixed,1623,49,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1137,5,Spring,31,5,26,0,37.305242,24.382144,East,N,3.0,Mixed,566,24,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1138,5,Spring,11,2,9,0,37.302314,24.376075,East,N,3.0,Mixed,644,28,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1139,5,Spring,15,2,13,0,37.311175,24.373939,West,N,3.0,Sand,5437,214,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1140,5,Spring,7,7,0,0,37.323806,24.371394,West,N,3.0,Mixed,231,20,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1141,5,Spring,313,13,300,0,37.3278,24.373231,West,N,3.0,Mixed,887,32,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1142,5,Spring,70,10,60,0,37.332078,24.375503,West,SW,3.0,Mixed,332,16,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1143,5,Spring,11,3,8,0,37.338547,24.378864,West,SW,3.0,Mixed,69,8,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1144,5,Spring,38,8,30,0,37.340456,24.379317,West,SW,3.0,Mixed,469,25,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1147,5,Spring,10,2,8,0,37.345767,24.380731,West,SW,3.0,Mixed,247,22,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1148,5,Spring,11,2,9,0,37.361481,24.392717,West,SW,3.0,Mixed,620,34,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1149,5,Spring,35,5,30,0,37.364581,24.400028,West,SW,3.0,Mixed,7517,412,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1151,5,Spring,18,3,15,0,37.393008,24.398256,West,SE,4.0,Mixed,2513,110,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1152,5,Spring,9,0,9,0,37.394614,24.396456,West,SE,4.0,Mixed,338,35,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1153,5,Spring,27,4,23,0,37.399603,24.399608,West,SE,4.0,Mixed,7832,272,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1155,5,Spring,29,4,25,0,37.405517,24.391953,West,SE,4.0,Mixed,236,31,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1156,5,Spring,45,5,40,0,37.412467,24.397725,West,SE,4.0,Mixed,16420,473,1,1,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1157,5,Spring,25,0,25,0,37.415647,24.38295,South,NE,2.0,Sand,9334,298,1,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1160,5,Spring,537,17,520,0,37.430719,24.375253,West,NE,2.0,Mixed,3234,71,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1161,5,Spring,110,15,95,0,37.443889,24.384625,West,NE,2.0,Mixed,306,26,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1162,5,Spring,20,5,15,0,37.463286,24.405803,West,NE,2.0,Mixed,710,60,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1163,5,Spring,70,15,55,0,37.466867,24.410506,West,NE,2.0,Mixed,765,48,0,0,24. ΚΥΘΝΟΣ 2η ΦΟΡΑ
1165,5,Spring,8,0,8,0,37.536275,24.307183,East,W,2.0,Pebbles,317,15,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1167,5,Spring,9,0,9,0,37.552917,24.321889,East,W,2.0,Mixed,1315,78,1,0,25. ΚΕΑ 2η ΦΟΡΑ
1169,5,Spring,10,2,8,0,37.565792,24.341969,East,W,2.0,Mixed,731,42,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1170,5,Spring,90,10,80,0,37.682642,24.357281,North,S,3.0,Mixed,683,58,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1171,5,Spring,8,0,8,0,37.678692,24.348206,North,E,2.0,Mixed,115,17,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1172,5,Spring,42,0,42,0,37.684497,24.346489,North,E,2.0,Mixed,260,19,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1173,5,Spring,145,25,120,0,37.683886,24.345803,North,E,1.0,Mixed,137,17,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1174,5,Spring,40,15,25,0,37.683383,24.343478,North,E,1.0,Mixed,13,4,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1175,5,Spring,225,25,200,0,37.680939,24.3413,North,E,1.0,Mixed,68,10,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1176,5,Spring,50,15,35,0,37.680467,24.334228,North,E,1.0,Mixed,142,13,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1177,5,Spring,495,45,450,0,37.678631,24.333653,North,Calm,0.0,Mixed,105,17,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1178,5,Spring,90,5,85,0,37.679508,24.330942,North,Calm,0.0,Sand,72,10,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1179,5,Spring,40,0,40,0,37.680669,24.328456,North,Calm,0.0,Sand,560,67,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1180,5,Spring,90,5,85,0,37.673344,24.324847,West,Calm,0.0,Mixed,46,13,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1181,5,Spring,9,0,9,0,37.669944,24.321747,South,Calm,0.0,Sand,1367,85,1,0,25. ΚΕΑ 2η ΦΟΡΑ
1182,5,Spring,8,0,8,0,37.669178,24.327258,South,Calm,0.0,Pebbles,574,64,1,1,25. ΚΕΑ 2η ΦΟΡΑ
1183,5,Spring,62,2,60,0,37.666389,24.328397,West,Calm,0.0,Sand,876,75,1,1,25. ΚΕΑ 2η ΦΟΡΑ
1184,5,Spring,188,38,150,0,37.660033,24.306333,West,Calm,0.0,Sand,64,11,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1186,5,Spring,81,21,60,0,37.651947,24.29395,West,Calm,0.0,Mixed,250,30,1,0,25. ΚΕΑ 2η ΦΟΡΑ
1187,5,Spring,285,15,270,0,37.635953,24.287625,West,NE,3.0,Mixed,906,67,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1188,5,Spring,26,5,21,0,37.588969,24.268956,West,NE,3.0,Pebbles,133,12,0,1,25. ΚΕΑ 2η ΦΟΡΑ
1190,5,Spring,8,0,8,0,37.582714,24.267508,South,NE,3.0,Pebbles,202,16,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1191,5,Spring,27,5,22,0,37.582533,24.270333,South,NE,3.0,Pebbles,381,24,1,0,25. ΚΕΑ 2η ΦΟΡΑ
1195,5,Spring,35,6,29,0,37.560128,24.2779,West,NE,3.0,Mixed,440,39,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1196,5,Spring,6,0,6,0,37.539856,24.276361,West,N,4.0,Mixed,2282,50,1,0,25. ΚΕΑ 2η ΦΟΡΑ
1197,5,Spring,19,5,14,0,37.528703,24.276467,West,N,4.0,Mixed,456,23,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1198,5,Spring,9,2,7,0,37.527322,24.276861,West,N,4.0,Pebbles,207,13,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1201,5,Spring,8,1,7,0,37.582594,24.362078,East,E,2.0,Mixed,346,34,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1203,5,Spring,7,0,7,0,37.586397,24.364461,East,E,2.0,Mixed,116,15,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1204,5,Spring,10,1,9,0,37.595822,24.373819,East,E,2.0,Mixed,295,30,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1208,5,Spring,8,0,8,0,37.622517,24.393064,East,E,2.0,Mixed,522,34,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1209,5,Spring,3,0,3,0,37.629542,24.396675,East,E,2.0,Mixed,91,20,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1210,5,Spring,33,6,27,0,37.651056,24.407547,East,S,2.0,Mixed,1228,64,0,0,25. ΚΕΑ 2η ΦΟΡΑ
1212,5,Spring,35,0,35,0,37.606997,24.661994,North,S,2.0,Mixed,320,26,0,0,26. ΓΥΑΡΟΣ
1213,5,Spring,32,0,32,0,37.607294,24.662789,North,S,2.0,Pebbles,27,9,0,0,26. ΓΥΑΡΟΣ
1214,5,Spring,8,0,8,0,37.606028,24.667825,North,S,2.0,Rocky,241,53,0,0,26. ΓΥΑΡΟΣ
1222,5,Spring,20,3,17,0,37.598061,24.7022,South,Calm,0.0,Pebbles,247,14,0,0,26. ΓΥΑΡΟΣ
1223,5,Spring,6,0,6,0,37.597017,24.714253,South,Calm,0.0,Pebbles,1330,30,0,0,26. ΓΥΑΡΟΣ
1224,5,Spring,21,4,17,0,37.597017,24.738514,East,Calm,0.0,Pebbles,40,7,0,0,26. ΓΥΑΡΟΣ
1225,5,Spring,18,3,15,0,37.599744,24.735772,East,Calm,0.0,Pebbles,680,65,0,0,26. ΓΥΑΡΟΣ
1226,5,Spring,20,0,20,0,37.602194,24.734683,East,Calm,0.0,Pebbles,1560,124,0,1,26. ΓΥΑΡΟΣ
1229,5,Spring,280,0,280,0,37.609847,24.735928,East,Calm,0.0,Pebbles,1320,122,0,0,26. ΓΥΑΡΟΣ
1230,5,Spring,45,0,45,0,37.612953,24.737164,East,Calm,0.0,Pebbles,409,46,0,0,26. ΓΥΑΡΟΣ
1231,5,Spring,7,0,7,0,37.61605,24.7384,East,NE,2.0,Pebbles,82,12,0,0,26. ΓΥΑΡΟΣ
1232,5,Spring,11,2,9,0,37.620297,24.738564,East,NE,2.0,Pebbles,509,51,0,0,26. ΓΥΑΡΟΣ
1233,5,Spring,8,0,8,0,37.622572,24.738114,East,NE,2.0,Pebbles,385,32,0,0,26. ΓΥΑΡΟΣ
1235,5,Spring,9,1,8,0,37.630111,24.740583,East,NE,2.0,Pebbles,27,7,0,0,26. ΓΥΑΡΟΣ
1236,5,Spring,84,5,79,0,37.6298,24.727956,North,NE,2.0,Pebbles,187,21,0,0,26. ΓΥΑΡΟΣ
1237,5,Spring,11,2,9,0,37.623053,24.707633,West,NE,2.0,Pebbles,590,30,0,0,26. ΓΥΑΡΟΣ
1238,5,Spring,76,3,73,0,37.619289,24.705175,West,NE,2.0,Pebbles,1319,40,0,0,26. ΓΥΑΡΟΣ
1239,5,Spring,11,2,9,0,37.614758,24.699869,West,NE,2.0,Pebbles,35,8,0,0,26. ΓΥΑΡΟΣ
1240,5,Spring,8,0,8,0,37.606639,24.684931,North,NE,2.0,Pebbles,634,55,0,0,26. ΓΥΑΡΟΣ
1244,5,Spring,9,0,9,0,37.954289,24.516822,South,NE,2.0,Sand,300,25,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1245,5,Spring,27,0,27,0,37.95605,24.51935,South,NE,2.0,Sand,286,32,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1246,5,Spring,5,0,5,0,37.957411,24.519619,South,NE,2.0,Sand,599,40,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1247,5,Spring,9,0,9,0,37.965136,24.477567,South,NE,2.0,Mixed,5650,143,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1249,5,Spring,20,0,20,0,37.979869,24.472792,South,NE,2.0,Mixed,2618,166,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1250,5,Spring,8,0,8,0,37.984175,24.469558,South,NE,2.0,Mixed,2230,196,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1251,5,Spring,9,0,9,0,37.987361,24.468236,South,NE,2.0,Mixed,1572,95,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1252,5,Spring,213,3,210,0,37.988942,24.466494,South,NE,2.0,Mixed,1422,85,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1253,5,Spring,57,0,57,0,37.992178,24.463817,South,NE,2.0,Mixed,20126,920,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1254,5,Spring,43,0,43,0,37.994106,24.462447,South,Calm,0.0,Mixed,1865,144,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1255,5,Spring,8,0,8,0,37.99625,24.461989,South,Calm,0.0,Mixed,855,63,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1256,5,Spring,51,0,51,0,37.997567,24.460883,South,Calm,0.0,Mixed,1878,65,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1257,5,Spring,7,0,7,0,37.998994,24.458531,South,Calm,0.0,Pebbles,8325,345,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1258,5,Spring,9,0,9,0,38.002053,24.454944,South,Calm,0.0,Mixed,3284,214,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1259,5,Spring,24,3,21,0,38.003233,24.453058,South,Calm,0.0,Mixed,1107,82,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1260,5,Spring,11,2,9,0,38.004722,24.449572,South,Calm,0.0,Pebbles,3606,233,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1262,5,Spring,8,0,8,0,38.007478,24.439728,South,Calm,0.0,Pebbles,4980,290,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1263,5,Spring,11,2,9,0,38.00825,24.436308,South,Calm,0.0,Mixed,3893,204,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1264,5,Spring,8,0,8,0,38.010158,24.431478,South,Calm,0.0,Mixed,540,38,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1265,5,Spring,23,3,20,0,38.012694,24.426911,South,Calm,0.0,Sand,4168,215,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1266,5,Spring,8,0,8,0,38.012644,24.425075,South,NW,3.0,Mixed,975,103,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1267,5,Spring,57,2,55,0,38.012583,24.422464,South,NW,3.0,Mixed,385,35,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1268,5,Spring,9,0,9,0,38.012694,24.421272,South,NW,3.0,Mixed,1473,66,1,1,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1270,5,Spring,81,3,78,0,38.009544,24.402564,South,NW,3.0,Mixed,36240,1515,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1271,5,Spring,195,5,190,0,38.003994,24.391558,South,NW,3.0,Sand,13303,484,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1272,5,Spring,112,5,107,0,37.999736,24.393989,South,NW,3.0,Mixed,350,50,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1273,5,Spring,14,5,9,0,37.998472,24.394247,South,NW,3.0,Rocky,300,65,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1274,5,Spring,14,5,9,0,37.997875,24.393142,South,NW,3.0,Mixed,232,44,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1275,5,Spring,23,2,21,0,37.997542,24.388169,South,W,4.0,Mixed,8397,336,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1280,5,Spring,143,3,140,0,37.984683,24.385739,South,W,4.0,Mixed,718,102,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1281,5,Spring,22,2,20,0,37.983675,24.386344,South,W,4.0,Mixed,627,80,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1282,5,Spring,22,2,20,0,37.982392,24.387269,South,W,4.0,Mixed,227,77,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1283,5,Spring,10,1,9,0,37.980008,24.38995,South,W,4.0,Mixed,384,82,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1284,5,Spring,331,0,331,0,37.976489,24.394358,South,W,4.0,Mixed,500,170,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1285,5,Spring,9,0,9,0,37.974111,24.397431,South,W,4.0,Mixed,485,30,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1286,5,Spring,3,0,3,0,37.971636,24.390819,South,S,2.0,Mixed,590,70,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1287,5,Spring,8,0,8,0,37.971858,24.387594,South,S,2.0,Mixed,2748,198,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1288,5,Spring,5,0,5,0,37.970039,24.385181,South,S,2.0,Mixed,1217,60,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1290,5,Spring,14,0,14,0,37.966508,24.384769,South,S,2.0,Mixed,2406,164,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1291,5,Spring,21,1,20,0,37.964344,24.386222,South,S,2.0,Mixed,319,51,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1293,5,Spring,77,2,75,0,37.961961,24.387297,South,S,2.0,Mixed,712,80,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1295,5,Spring,9,0,9,0,37.960433,24.385892,South,S,2.0,Mixed,554,50,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1297,5,Spring,21,0,21,0,37.965086,24.374564,South,S,2.0,Mixed,1724,80,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1298,5,Spring,70,0,70,0,37.969328,24.373361,South,S,2.0,Mixed,1097,135,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1299,5,Spring,20,0,20,0,37.971786,24.366444,South,S,2.0,Mixed,3311,134,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1302,5,Spring,160,0,160,0,37.979947,24.355775,South,S,2.0,Mixed,2465,79,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1306,5,Spring,55,3,52,0,37.986261,24.345236,South,Calm,0.0,Mixed,1906,100,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1307,5,Spring,27,2,25,0,37.989683,24.338606,South,Calm,0.0,Mixed,1562,77,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1308,5,Spring,15,0,15,0,37.999133,24.333906,South,Calm,0.0,Mixed,622,45,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1310,5,Spring,6,0,6,0,38.007517,24.333869,South,Calm,0.0,Mixed,563,60,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1311,5,Spring,7,0,7,0,38.010567,24.332861,South,Calm,0.0,Mixed,53,11,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1312,5,Spring,45,5,40,0,38.012347,24.331464,South,Calm,0.0,Mixed,4686,210,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1315,5,Spring,8,0,8,0,38.016539,24.323028,South,Calm,0.0,Mixed,424,35,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1316,5,Spring,7,0,7,0,38.016775,24.321058,South,Calm,0.0,Mixed,457,35,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1322,5,Spring,7,0,7,0,38.024536,24.306658,South,SE,3.0,Mixed,1061,47,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1325,5,Spring,10,0,10,0,38.028311,24.304956,South,SE,3.0,Mixed,86,24,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1327,5,Spring,5,0,5,0,38.030722,24.305047,South,SE,3.0,Mixed,312,63,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1328,5,Spring,8,0,8,0,38.033672,24.306164,South,SE,3.0,Mixed,9944,336,1,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1329,5,Spring,223,5,218,0,38.035008,24.308614,South,SE,3.0,Mixed,147,42,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1330,5,Spring,10,0,10,0,38.035122,24.309131,South,SE,3.0,Mixed,69,21,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1331,5,Spring,15,0,15,0,38.035217,24.309514,South,SE,3.0,Mixed,211,57,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1332,5,Spring,7,0,7,0,38.035464,24.310206,South,SE,3.0,Mixed,65,24,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1333,6,Summer,29,4,25,0,38.012028,24.291528,South,Calm,0.0,Mixed,63,21,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1334,6,Summer,23,3,20,0,38.011711,24.28635,South,Calm,0.0,Mixed,74,15,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1335,6,Summer,35,5,30,0,38.01195,24.284958,South,Calm,0.0,Mixed,71,16,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1336,6,Summer,29,3,26,0,38.014675,24.280819,South,Calm,0.0,Mixed,750,124,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1337,6,Summer,9,0,9,0,38.017831,24.279117,South,Calm,0.0,Mixed,1263,140,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1339,6,Summer,52,0,52,0,38.010692,24.277997,South,Calm,0.0,Mixed,1211,115,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1340,6,Summer,53,0,53,0,38.008058,24.279636,South,Calm,0.0,Mixed,1541,81,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1341,6,Summer,6,0,6,0,38.026022,24.273703,South,Calm,0.0,Mixed,18,14,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
1342,6,Summer,19,0,19,0,38.024906,24.271344,South,Calm,0.0,Mixed,786,186,0,0,27. ΕΥΒΟΙΑ 2η ΦΟΡΑ
