Days of Operations,Special Number,Date,Beaches,Name of Beach,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,Sediment,WidthLength,Coastline of Clean Beach,Coastline cleaned,Finds/Comments,Beaches complete,Beaches check clean,Road Network,Tourist Business,source_file,source_row,Region,site_id,Month,Season,Latitude,Longitude,WindDirection,WindSpeed
,,,,,,,,,,,,,,,,,,,,Typhoon1,840,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,842,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,,,,,,
145,757.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 1,ΠΑΡΑΛΊΑ ΚΟΛΏΝΑ ΠΑΞΙΜΆΔΑΣ,11.0,1.0,10.0,0.0," 37°57'42.11""N, 24°23'13.32""E",South,Mixed,1547.0,,123.0,,1.0,0.0,0,0,Typhoon1,844,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,757,2,Winter,37.961697,24.387033,SW,3.0
,758.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 2,Ά ΠΑΡΑΛΊΑ ΆΓΙΑΣ ΠΑΡΑΣΚΕΥΉΣ,0.0,0.0,0.0,0.0," 37°57'59.43""N, 24°23'5.17""E",South,,,,,,0.0,1.0,,,Typhoon1,845,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,758,2,Winter,37.966508,24.384769,SW,3.0
,759.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 3,ΠΑΡΑΛΊΑ ΆΓΙΑΣ ΠΑΡΑΣΚΕΥΉΣ,0.0,0.0,0.0,0.0," 37°58'5.76""N, 24°23'6.91""E",South,,,,,,0.0,1.0,,,Typhoon1,846,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,759,2,Winter,37.968267,24.385253,SW,3.0
,760.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 4,ΠΑΡΑΛΊΑ ΚΑΤΣΟΎΛΙ,43.0,2.0,41.0,0.0," 37°59'42.07""N, 24°23'10.21""E",South,Sand,6150.0,,301.0,,1.0,0.0,1,0,Typhoon1,847,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,760,2,Winter,37.995019,24.386169,SW,3.0
,761.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 5,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΙ,62.0,3.0,59.0,0.0," 38° 0'14.38""N, 24°23'29.61""E",South,Sand,15744.0,,492.0,,1.0,0.0,1,0,Typhoon1,848,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,761,2,Winter,38.003994,24.391558,SW,3.0
,762.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 6,ΠΑΡΑΛΊΑ ΓΑΛΊΔΑ,103.0,3.0,100.0,0.0," 38° 0'34.36""N, 24°24'9.23""E",South,Mixed,36163.0,,1275.0,,1.0,0.0,1,1,Typhoon1,849,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,762,2,Winter,38.009544,24.402564,SW,3.0
,763.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 7,ΠΑΡΑΛΊΑ ΨΙΛΉ ΆΜΜΟΣ,16.0,1.0,15.0,0.0," 38° 0'45.70""N, 24°25'36.88""E",South,Mixed,3942.0,,219.0,,1.0,0.0,1,1,Typhoon1,850,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,763,2,Winter,38.012694,24.426911,SW,3.0
,764.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 8,ΠΑΡΑΛΊΑ ΜΑΡΜΑΡΆ,17.0,1.0,16.0,0.0," 38° 0'20.98""N, 24°26'40.01""E",South,Mixed,9757.0,,420.0,,1.0,0.0,1,1,Typhoon1,851,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,764,2,Winter,38.005828,24.444447,SW,3.0
,765.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 9,ΠΑΡΑΛΊΑ ΚΆΒΟΣ,21.0,1.0,20.0,0.0," 37°59'31.84""N, 24°27'49.74""E",South,Pebbles,20486.0,,460.0,,1.0,0.0,1,0,Typhoon1,852,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,765,2,Winter,37.992178,24.463817,SW,3.0
,766.0,2020-02-11,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 10,ΠΑΡΑΛΊΑ ΆΓΙΑ ΕΙΡΉΝΗ,19.0,2.0,17.0,0.0," 37°58'47.53""N, 24°28'22.05""E",South,Sand,2714.0,,164.0,,1.0,0.0,1,0,Typhoon1,853,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,766,2,Winter,37.979869,24.472792,SW,3.0
146,767.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 11,,5.0,0.0,5.0,0.0," 37°57'26.82""N, 24°31'10.55""E",South,Sand,566.0,,37.0,,1.0,0.0,0,0,Typhoon1,854,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,767,2,Winter,37.95745,24.519597,SE,2.0
,768.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 12,ΠΑΡΑΛΊΑ ΚΆΛΑΜΟΣ,11.0,1.0,10.0,0.0," 37°57'48.34""N, 24°31'35.81""E",South,Mixed,930.0,,93.0,,1.0,0.0,1,0,Typhoon1,855,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,768,2,Winter,37.963428,24.526614,SE,2.0
,769.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 13,,12.0,1.0,11.0,0.0," 37°57'56.20""N, 24°31'37.19""E",South,Sand,2965.0,,107.0,,1.0,0.0,1,0,Typhoon1,856,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,769,2,Winter,37.965611,24.526997,SE,2.0
,770.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 14,ΠΑΡΑΛΊΑ ΚΆΛΑΜΟΣ,0.0,0.0,0.0,0.0," 37°58'4.96""N, 24°31'47.78""E",South,,,,,,0.0,1.0,,,Typhoon1,857,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,770,2,Winter,37.968044,24.529939,SE,2.0
,771.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 15,ΠΑΡΑΛΊΑ ΚΑΣΤΡΊ,7.0,1.0,6.0,0.0," 37°58'32.13""N, 24°32'17.26""E",South,Mixed,3072.0,,240.0,,1.0,0.0,1,0,Typhoon1,858,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,771,2,Winter,37.975592,24.538128,SE,2.0
,772.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 16,ΠΑΡΑΛΊΑ ΠΛΑΤΎΣ ΓΙΑΛΟΣ,5.0,0.0,5.0,0.0," 37°58'40.03""N, 24°32'45.20""E",South,Sand,3415.0,,200.0,,1.0,0.0,1,0,Typhoon1,859,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,772,2,Winter,37.977786,24.545889,SE,2.0
,773.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 17,ΠΑΡΑΛΊΑ ΛΙΒΆΔΙ,0.0,0.0,0.0,0.0," 37°58'44.77""N, 24°33'14.90""E",South,,,,,,0.0,1.0,,,Typhoon1,860,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,773,2,Winter,37.979103,24.554139,SE,2.0
,774.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 18,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΝΙΚΟΛΑΌΣ,13.0,1.0,12.0,0.0," 37°59'14.61""N, 24°33'23.11""E",East,Pebbles,19344.0,,553.0,,1.0,0.0,1,0,Typhoon1,861,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,774,2,Winter,37.987392,24.556419,SE,2.0
,775.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 19,ΠΑΡΑΛΊΑ ΠΟΤΆΜΙ,26.0,0.0,26.0,0.0," 38° 0'24.06""N, 24°34'0.15""E",East,Sand,71569.0,,790.0,,1.0,0.0,1,1,Typhoon1,862,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,775,2,Winter,38.006683,24.566708,SE,2.0
,776.0,2020-02-12,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 20,ΠΑΡΑΛΊΑ ΛΙΝΆΡΙ,4.0,0.0,4.0,0.0," 38° 1'32.42""N, 24°34'41.44""E",East,Sand,8729.0,,160.0,,1.0,0.0,1,0,Typhoon1,863,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,776,2,Winter,38.025672,24.578178,SE,2.0
147,777.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 21,,0.0,0.0,0.0,0.0," 38° 1'59.13""N, 24°34'49.15""E",East,,,,,,0.0,1.0,,,Typhoon1,864,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,777,2,Winter,38.033092,24.580319,E,3.0
,778.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 22,ΠΑΡΑΛΊΑ ΛΙΜΝΙΏΝΑΣ,0.0,0.0,0.0,0.0," 38° 2'43.79""N, 24°34'54.21""E",East,,,,,,0.0,1.0,,,Typhoon1,865,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,778,2,Winter,38.045497,24.581725,E,3.0
,779.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 23,ΠΑΡΑΛΊΑ ΑΡΧΑΜΠΌΛΙ,0.0,0.0,0.0,0.0," 38° 5'32.11""N, 24°34'40.71""E",East,,,,,,0.0,1.0,,,Typhoon1,866,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,779,2,Winter,38.092253,24.577975,E,3.0
,780.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 24,ΠΑΡΑΛΊΑ ΖΑΧΑΡΙΆ,0.0,0.0,0.0,0.0," 38° 6'24.55""N, 24°34'25.07""E",East,,,,,,0.0,1.0,,,Typhoon1,867,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,780,2,Winter,38.106819,24.573631,E,3.0
,781.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 25,ΠΑΡΑΛΊΑ ΑΙ'ΓΙΆΝΝΗΣ,13.0,1.0,12.0,0.0," 38° 7'33.35""N, 24°34'55.95""E",East,Mixed,2931.0,,87.0,,1.0,0.0,1,0,Typhoon1,868,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,781,2,Winter,38.125931,24.582208,E,3.0
,782.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 26,ΠΑΡΑΛΊΑ ΚΑΛΛΙΑΝΟΎ,79.0,6.0,73.0,0.0," 38° 8'27.50""N, 24°28'47.89""E",North,Mixed,13605.0,,273.0,,1.0,0.0,1,1,Typhoon1,869,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,782,2,Winter,38.140972,24.479969,E,3.0
,783.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 27,ΠΑΡΑΛΊΑ ΆΓΙΟΥ ΔΗΜΗΤΡΊΟΥ,49.0,7.0,42.0,0.0," 38° 8'30.72""N, 24°26'52.37""E",North,Sand,6879.0,,148.0,,1.0,0.0,1,1,Typhoon1,870,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,783,2,Winter,38.141867,24.447881,E,3.0
,784.0,2020-02-14,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 28,ΠΑΡΑΛΊΑ ΓΙΑΝΝΊΤΣΙ,50.0,10.0,40.0,0.0," 38° 9'29.95""N, 24°23'51.21""E",North,Pebbles,18452.0,,317.0,,1.0,0.0,1,1,Typhoon1,871,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,784,2,Winter,38.158319,24.397558,E,3.0
148,785.0,2020-02-18,ΜΕΓΑΛΟΝΉΣΙ ΠΑΡΑΛΊΑ 29,,100.0,2.0,98.0,0.0," 37°59'0.98""N, 24°15'5.01""E",South,Mixed,5708.0,,282.0,,1.0,0.0,0,0,Typhoon1,872,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,785,2,Winter,37.983606,24.251392,NE,4.0
,786.0,2020-02-18,ΜΕΓΑΛΟΝΉΣΙ ΠΑΡΑΛΊΑ 30,,55.0,1.0,54.0,0.0," 37°59'28.86""N, 24°14'1.58""E",South,Mixed,1380.0,,206.0,,1.0,0.0,0,0,Typhoon1,873,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,786,2,Winter,37.99135,24.233772,NE,4.0
,787.0,2020-02-18,ΜΕΓΑΛΟΝΉΣΙ ΠΑΡΑΛΊΑ 31,,13.0,3.0,10.0,0.0," 38° 0'29.01""N, 24°16'46.69""E",East,Mixed,1176.0,,79.0,,1.0,0.0,0,0,Typhoon1,874,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,787,2,Winter,38.008058,24.279636,NE,4.0
,788.0,2020-02-18,ΜΕΓΑΛΟΝΉΣΙ ΠΑΡΑΛΊΑ 32,,20.0,5.0,15.0,0.0," 38° 0'38.49""N, 24°16'40.79""E",East,Sand,1331.0,,133.0,,1.0,0.0,0,0,Typhoon1,875,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,788,2,Winter,38.010692,24.277997,NE,4.0
,789.0,2020-02-18,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 33,ΠΑΡΑΛΊΑ ΖΑΣΤΆΝΙ,0.0,0.0,0.0,0.0," 38° 1'33.35""N, 24°18'19.03""E",East,,,,,,0.0,1.0,,,Typhoon1,876,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,789,2,Winter,38.025931,24.305286,NE,4.0
,790.0,2020-02-18,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 34,ΠΑΡΑΛΊΑ ΜΕΓΆΛΟΣ ΆΜΜΟΣ,5.0,2.0,3.0,0.0," 38° 2'1.22""N, 24°18'22.19""E",East,Pebbles,10419.0,,368.0,,1.0,0.0,1,1,Typhoon1,877,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,790,2,Winter,38.033672,24.306164,NE,4.0
,791.0,2020-02-18,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 35,ΠΑΡΑΛΊΑ ΚΟΚΚΊΝΗΣ,22.0,6.0,16.0,0.0," 38° 3'43.36""N, 24°18'44.80""E",South,Sand,3006.0,,323.0,,1.0,0.0,1,1,Typhoon1,878,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,791,2,Winter,38.062044,24.312444,NE,4.0
,792.0,2020-02-18,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 36,ΠΑΡΑΛΊΑ ΆΓΙΑ ΕΙΡΉΝΗ,19.0,1.0,18.0,0.0," 38° 4'58.33""N, 24°17'3.29""E",South,Mixed,1752.0,,128.0,,1.0,0.0,1,0,Typhoon1,879,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,792,2,Winter,38.082869,24.284247,NE,4.0
149,793.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 37,ΠΑΡΑΛΊΑ ΜΑΡΊΚΕΣ,0.0,0.0,0.0,0.0," 38° 0'36.73""N, 24° 1'11.23""E",East,,,,,,0.0,1.0,,,Typhoon1,880,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,793,2,Winter,38.010203,24.019786,N,3.0
,794.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 38,ΠΑΡΑΛΊΑ ΡΑΦΊΝΑ,33.0,3.0,30.0,0.0," 38° 1'8.54""N, 24° 0'43.31""E",East,Mixed,17979.0,,341.0,,1.0,0.0,1,1,Typhoon1,881,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,794,2,Winter,38.019039,24.012031,N,3.0
,795.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 39,ΠΑΡΑΛΊΑ ΚΌΚΚΙΝΟ ΛΙΜΑΝΆΚΙ,0.0,0.0,0.0,0.0," 38° 2'1.56""N, 23°59'59.80""E",East,,,,,,0.0,1.0,,,Typhoon1,882,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,795,2,Winter,38.033767,23.999944,N,3.0
,796.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 40,ΠΑΡΑΛΊΑ ΜΆΤΙ,4.0,1.0,3.0,0.0," 38° 2'49.34""N, 23°59'54.45""E",East,Mixed,234.0,,41.0,,1.0,0.0,1,1,Typhoon1,883,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,796,2,Winter,38.047039,23.998458,N,3.0
,797.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 41,ΠΑΡΑΛΊΑ ΖΟΥΜΠΕΡΊ,0.0,0.0,0.0,0.0," 38° 4'21.65""N, 23°59'41.34""E",East,,,,,,0.0,1.0,,,Typhoon1,884,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,797,2,Winter,38.072681,23.994817,N,3.0
,798.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 42,ΠΑΡΑΛΊΑ ΝΈΑ ΜΆΚΡΗ,0.0,0.0,0.0,0.0," 38° 5'45.23""N, 23°58'52.56""E",East,,,,,,0.0,1.0,,,Typhoon1,885,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,798,2,Winter,38.095897,23.981267,N,3.0
,799.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 43,ΠΑΡΑΛΊΑ ΜΑΡΑΘΏΝΑ,0.0,0.0,0.0,0.0," 38° 6'32.36""N, 23°58'55.21""E",East,,,,,,0.0,1.0,,,Typhoon1,886,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,799,2,Winter,38.108989,23.982003,N,3.0
,800.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 44,ΠΑΡΑΛΊΑ ΣΧΟΙΝΙΆ,0.0,0.0,0.0,0.0," 38° 8'30.55""N, 24° 2'7.43""E",East,,,,,,0.0,1.0,,,Typhoon1,887,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,800,2,Winter,38.141819,24.035397,N,3.0
,801.0,2020-02-19,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 45,ΠΑΡΑΛΊΑ ΔΙΚΑΣΤΙΚΆ ΜΊΝΙ,0.0,0.0,0.0,0.0," 38° 9'39.47""N, 24° 3'54.85""E",East,,,,,,0.0,1.0,,,Typhoon1,888,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,801,2,Winter,38.160964,24.065236,N,3.0
150,802.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 46,ΠΑΡΑΛΊΑ ΝΗΜΠΌΡΕΙΟ,6.0,1.0,5.0,0.0," 38° 7'29.44""N, 24°12'41.52""E",East,Mixed,7618.0,,472.0,,1.0,0.0,1,1,Typhoon1,889,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,802,2,Winter,38.124844,24.211533,N,3.0
,803.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 47,ΠΑΡΑΛΊΑ ΚΕΦΆΛΑ,0.0,0.0,0.0,0.0," 38°11'14.33""N, 24°11'50.17""E",East,,,,,,0.0,1.0,,,Typhoon1,890,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,803,2,Winter,38.187314,24.197269,N,3.0
,804.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 48,ΠΑΡΑΛΊΑ ΛΉΜΝΑΣ,15.0,1.0,14.0,0.0," 38°11'19.22""N, 24°11'38.45""E",East,Mixed,5714.0,,251.0,,1.0,0.0,1,1,Typhoon1,891,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,804,2,Winter,38.188672,24.194014,N,3.0
,805.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 49,ΠΑΡΑΛΊΑ ΔΙΛΗΣΟΎ,34.0,2.0,32.0,0.0," 38°13'2.96""N, 24°10'57.60""E",East,Mixed,8847.0,,580.0,,1.0,0.0,1,1,Typhoon1,892,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,805,2,Winter,38.217489,24.182667,N,3.0
,806.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 50,ΠΑΡΑΛΊΑ ΑΛΜΥΡΌΠΟΤΑΜΟΥ,7.0,0.0,7.0,0.0," 38°16'3.70""N, 24° 9'35.44""E",East,Sand,2830.0,,283.0,,1.0,0.0,1,1,Typhoon1,893,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,806,2,Winter,38.267694,24.159844,N,3.0
,807.0,2020-02-20,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 51,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΔΗΜΉΤΡΙΟΣ,25.0,1.0,24.0,0.0," 38°16'53.05""N, 24° 8'55.60""E",East,Sand,16684.0,,1007.0,,1.0,0.0,1,1,Typhoon1,894,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,807,2,Winter,38.281403,24.148778,N,3.0
151,808.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 52,ΠΑΡΑΛΊΑ ΠΟΎΝΤΑ,25.0,2.0,23.0,0.0," 38°20'18.31""N, 24° 3'19.70""E",East,Pebbles,367.0,,88.0,,1.0,0.0,1,0,Typhoon1,895,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,808,2,Winter,38.338419,24.055472,N,3.0
,809.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 53,ΠΑΡΑΛΊΑ ΠΑΝΑΓΊΤΣΑ,0.0,0.0,0.0,0.0," 38°23'26.18""N, 24° 2'9.08""E",South,,,,,,0.0,1.0,,,Typhoon1,896,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,809,2,Winter,38.390606,24.035856,N,3.0
,810.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 54,ΠΑΡΑΛΊΑ ΚΑΡΑΒΌΣ,9.0,1.0,8.0,0.0," 38°23'23.13""N, 24° 1'50.21""E",South,Mixed,994.0,,82.0,,1.0,0.0,1,0,Typhoon1,897,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,810,2,Winter,38.389758,24.030614,N,3.0
,811.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 55,ΠΑΡΑΛΊΑ ΚΆΒΟΣ,28.0,2.0,26.0,0.0," 38°23'38.99""N, 24° 0'47.98""E",South,Mixed,7275.0,,432.0,,1.0,0.0,1,0,Typhoon1,898,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,811,2,Winter,38.394164,24.013328,N,3.0
,812.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 56,ΠΑΡΑΛΊΑ ΠΟΝΤΙΚΟΎ,33.0,3.0,30.0,0.0," 38°23'57.35""N, 24° 0'22.33""E",South,Pebbles,3889.0,,295.0,,1.0,0.0,1,1,Typhoon1,899,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,812,2,Winter,38.399264,24.006203,N,3.0
,813.0,2020-02-23,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 57,ΠΑΡΑΛΊΑ ΚΑΛΆΜΙ,25.0,2.0,23.0,0.0," 38°24'17.76""N, 23°59'51.37""E",South,Pebbles,1109.0,,138.0,,1.0,0.0,1,1,Typhoon1,900,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,813,2,Winter,38.404933,23.997603,N,3.0
152,814.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 58,,34.0,3.0,31.0,0.0," 38°13'18.70""N, 24° 1'48.76""E",North,Mixed,616.0,,87.0,,1.0,0.0,1,0,Typhoon1,901,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,814,2,Winter,38.221861,24.030211,SE,2.0
,815.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 59,ΠΑΡΑΛΊΑ ΛΙΜΝΙΏΝΑΣ,30.0,2.0,28.0,0.0," 38°14'1.30""N, 24° 1'0.37""E",North,Mixed,181.0,,49.0,,1.0,0.0,1,0,Typhoon1,902,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,815,2,Winter,38.233694,24.016769,SE,2.0
,816.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 60,ΠΑΡΑΛΊΑ ΜΙΚΡΌ ΣΈΣΙ,0.0,0.0,0.0,0.0," 38°14'34.00""N, 24° 0'6.41""E",North,,,,,,0.0,1.0,,,Typhoon1,903,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,816,2,Winter,38.242778,24.001781,SE,2.0
,817.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 61,ΠΑΡΑΛΊΑ ΜΕΓΆΛΟ ΣΈΣΙ,0.0,0.0,0.0,0.0," 38°14'47.59""N, 23°59'55.17""E",North,,,,,,0.0,1.0,,,Typhoon1,904,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,817,2,Winter,38.246553,23.998658,SE,2.0
,818.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 62,ΠΑΡΑΛΊΑ ΜΕΓΆΛΟ ΣΈΣΙ,38.0,4.0,34.0,0.0," 38°14'51.86""N, 23°59'46.18""E",North,Pebbles,970.0,,195.0,,1.0,0.0,1,1,Typhoon1,905,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,818,2,Winter,38.247739,23.996161,SE,2.0
,819.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 63,,28.0,2.0,26.0,0.0," 38°15'26.27""N, 23°59'6.27""E",North,Pebbles,60.0,,17.0,,1.0,0.0,0,0,Typhoon1,906,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,819,2,Winter,38.257297,23.985075,SE,2.0
,820.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 64,ΠΑΡΑΛΊΑ ΒΑΡΝΆΒΑ,33.0,3.0,30.0,0.0," 38°15'46.63""N, 23°58'39.60""E",North,Pebbles,3300.0,,355.0,,1.0,0.0,1,1,Typhoon1,907,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,820,2,Winter,38.262953,23.977667,SE,2.0
,821.0,2020-02-24,ΑΤΤΙΚΉ ΠΑΡΑΛΊΑ 65,ΠΑΡΑΛΊΑ ΜΑΡΚΌΠΟΥΛΟΣ,26.0,3.0,23.0,0.0," 38°19'13.30""N, 23°49'11.62""E",North,Mixed,1566.0,,217.0,,1.0,0.0,1,1,Typhoon1,908,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,821,2,Winter,38.320361,23.819894,SE,2.0
